>Ordinary
biscuits,575
bread,200
beans,225
>Ordinary
beans,200
pasta,250
>Refrigerated
chicken,425
chips,200
frozen meat,175
>Refrigerated
frozen meat,400
milk,400
>Refrigerated
milk,25
beef,550
ice,225
>Refrigerated
ice,100
frozen vegetable mix,325
rice,300
lettuce,75
>Refrigerated
mushrooms,75
lettuce,275
cheese,450
>Refrigerated
mushrooms,250
tomatoes,400
celery,150
>Refrigerated
celery,200
ice cream,250
nuts,250
beans,100
>Refrigerated
fish,475
yoghurt,325
>Refrigerated
asparagus,275
chocolate,375
grapes,150
>Refrigerated
grapes,75
